InjuryID,Season,Week,PlayerID,Position,Number,Team,Opponent,BodyPart,Status,Practice,PracticeDescription,Updated
26594,2014,1,14623,NT,66,ARI,SD,Knee,Questionable,,,11/5/2014 10:01:20 AM
26595,2014,1,11572,NT,92,ARI,SD,Knee,Questionable,,,11/5/2014 10:01:20 AM
26596,2014,1,15226,FS,32,ARI,SD,Knee,Questionable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26597,2014,1,11570,ILB,58,ARI,SD,Suspension,Out,,,11/5/2014 10:01:20 AM
27675,2014,1,15224,RB,38,ARI,SD,Foot,Questionable,None,Did Not Participate In Practice,11/5/2014 10:01:20 AM
27676,2014,1,5571,WR,11,ARI,SD,Knee,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
27677,2014,1,15227,ILB,51,ARI,SD,Chest,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
27678,2014,1,15228,OLB,57,ARI,SD,Thigh,Out,Out,Out (Definitely Will Not Play),11/5/2014 10:01:20 AM
27679,2014,1,1214,DT,98,ARI,SD,Back,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
27730,2014,1,15223,G,61,ARI,SD,Toe,Probable,,,11/5/2014 10:01:20 AM
27731,2014,1,4130,P,9,ARI,SD,Left groin,Questionable,,,11/5/2014 10:01:20 AM
27606,2014,1,11437,DE,91,ATL,NO,Achilles,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26598,2014,1,16542,FS,41,ATL,NO,Concussion,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26599,2014,1,1652,RB,39,ATL,NO,Hamstring,Questionable,,,11/5/2014 10:01:20 AM
26600,2014,1,14232,FS,25,BAL,CIN,Suspension,Out,,,11/5/2014 10:01:20 AM
26601,2014,1,547,RB,27,BAL,CIN,Suspension,Out,,,11/5/2014 10:01:20 AM
26602,2014,1,13841,CB,25,BAL,CIN,Ankle,Questionable,,,11/5/2014 10:01:20 AM
26603,2014,1,14687,RB,30,BAL,CIN,Concussion,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26604,2014,1,12829,CB,22,BAL,CIN,Chest,Questionable,,,11/5/2014 10:01:20 AM
26605,2014,1,9788,CB,21,BAL,CIN,Back,Questionable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26606,2014,1,14902,DT,95,BAL,CIN,Achilles,Out,Out,Out (Definitely Will Not Play),11/5/2014 10:01:20 AM
26607,2014,1,16100,DE,96,BAL,CIN,Knee,Out,Out,Out (Definitely Will Not Play),11/5/2014 10:01:20 AM
26608,2014,1,16003,WR,14,BUF,CHI,Ribs,Probable,Full,Full Participation in Practice,11/5/2014 10:01:20 AM
26609,2014,1,13756,OLB,53,BUF,CHI,Suspension,Out,,,11/5/2014 10:01:20 AM
26610,2014,1,14864,OLB,50,BUF,CHI,Knee,Out,,,11/5/2014 10:01:20 AM
